interaction_id,workflow_id,student_id,date_opened,date_closed,department,service_category,interaction_type,status,source_priority,assigned_owner,referral_source,referred_to_department
SI00200,WF00133,S0187,2026-03-11,2026-03-14,FinAid,academic,referral,closed,urgent,ST013,self,
SI00313,WF00203,S0276,2026-02-19,2026-03-02,residential life,financial,referral,closed ,high,ST018,faculty,Dean of Students
SI00567,WF00349,S0526,2026-02-27,2026-03-16,Financial Aid,wellbeing,referral,Closed,medium,ST013,Academic Advising,
SI00740,WF00465,S0676,2026-03-16,2026-03-21,Dean of Students,social,referral,closed,low,ST014,self,Residential Life
SI00416,WF00267,S0372,2026-02-20,2026-02-24,ResLife,academic,referral,Closed,low,ST018,Residential Life,Academic Advising
SI00146,WF00093,S0138,2026-03-18,2026-03-13,Counseling  ,behavioral,handoff,closed ,high,ST003,,
SI00231,WF00153,S0210,2026-02-11,2026-02-21,residential life,wellbeing,handoff,Closed,urgent,ST018,,
SI00311,WF00201,S0275,2026-03-14,2026-03-22,ResLife,wellbeing,check_in,Closed,medium,ST017,,
SI00222,WF00146,S0204,2026-03-25,2026-04-09,ResLife,behavioral,check_in,closed ,urgent,ST018,,
SI00716,WF00451,S0661,2026-03-02,2026-03-03,Acad. Advising,behavioral,referral,closed,low,ST006,self,
SI00569,WF00350,S0526,2026-02-24,2026-03-02,FinAid,social,handoff,Closed,medium,ST011,,
SI00341,WF00217,S0297,2026-03-03,,academic advising,financial,handoff,OPEN,low,ST009,,
SI00758,WF00478,S0692,2026-02-19,,residential life,behavioral,referral,OPEN,high,,Dean of Students,
SI00123,WF00077,S0108,2026-02-08,,Financial Aid,wellbeing,referral,pending,high,,Counseling,Residential Life
SI00686,WF00431,S0623,2026-02-13,2026-03-06,dean of students,behavioral,check_in,Closed,medium,ST015,,
SI00365,WF00234,S0322,2026-02-06,,counseling,social,referral,Open,medium,,Dean of Students,
SI00221,WF00146,S0204,2026-03-21,2026-04-07,ResLife,social,check_in,closed ,low,ST016,,
SI00775,WF00320,S0479,2026-02-20,,Residential Life,behavioral,check_in,Open,medium,ST018,,
SI00351,WF00224,S0308,2026-02-18,2026-02-24,financial aid,behavioral,referral,closed,low,ST011,Academic Advising,
SI00571,WF00352,S0527,2026-02-24,2026-03-01,ResLife,behavioral,handoff,closed,urgent,ST018,,
SI00047,WF00029,S0035,2026-03-20,2026-03-27,financial aid,financial,handoff,closed,high,,,
SI00597,WF00368,S0548,2026-03-02,,ResLife,financial,referral,Open,high,,self,
SI00478,WF00299,S0439,2026-02-06,2026-02-20,Counseling,social,handoff,closed ,urgent,ST004,,
SI00736,WF00463,S0674,2026-03-04,2026-03-12,Counseling  ,social,referral,closed,low,,Counseling,
SI00656,WF00407,S0591,2026-03-20,2026-03-24,academic advising,wellbeing,check_in,Closed,high,,,
SI00359,WF00230,S0316,2026-02-19,,Dean of Students,social,handoff,Pending,low,,,
SI00405,WF00260,S0362,2026-02-19,2026-03-03,Counseling,wellbeing,check_in,Closed,low,ST003,,
SI00507,WF00316,S0466,2026-02-26,2026-03-13,financial aid,wellbeing,check_in,closed,medium,ST012,,
SI00453,WF00286,S0414,2026-03-21,2026-03-28,Acad. Advising,financial,handoff,closed,urgent,ST007,,
SI00652,WF00403,S0589,2026-03-04,2026-03-17,DOS,financial,handoff,closed,medium,ST014,,
SI00263,WF00175,S0238,2026-03-20,,FinAid,wellbeing,referral,Open,urgent,ST013,self,Counseling
SI00565,WF00347,S0522,2026-02-25,2026-03-15,Acad. Advising,social,referral,Closed,urgent,ST006,Residential Life,
SI00489,WF00304,S0445,2026-03-08,2026-03-27,residential life,behavioral,referral,closed,medium,ST016,Residential Life,
SI00098,WF00064,S0087,2026-02-20,2026-03-09,Counseling  ,financial,referral,Closed,high,ST003,self,
SI00023,WF00014,S0020,2026-03-12,,financial aid,behavioral,check_in,open,high,ST011,,
SI00184,WF00122,S0178,2026-03-18,2026-03-23,Counseling Center,social,handoff,closed ,medium,ST001,,
SI00236,WF00157,S0215,2026-02-19,2026-03-01,ResLife,academic,handoff,closed ,low,ST016,,
SI00388,WF00247,S0338,2026-02-13,2026-02-24,Residential Life,behavioral,check_in,closed ,low,ST017,,
SI00083,WF00053,S0067,2026-03-07,,Counseling,financial,check_in,open,high,,,
SI00198,WF00132,S0186,2026-03-17,2026-03-25,ResLife,behavioral,handoff,closed ,high,,,
SI00526,WF00325,S0492,2026-03-12,2026-03-13,Counseling  ,social,check_in,Closed,urgent,ST003,,
SI00771,WF00076,S0108,2026-02-08,2026-02-18,ResLife,social,referral,closed ,urgent,,Residential Life,
SI00633,WF00390,S0570,2026-02-11,2026-02-13,ResLife,academic,check_in,closed,medium,ST017,,
SI00726,WF00457,S0671,2026-02-04,,Financial Aid,behavioral,check_in,Open,high,ST011,,
SI00381,WF00244,S0334,2026-02-27,,FinAid,social,check_in,OPEN,low,,,
SI00154,WF00100,S0145,2026-03-19,2026-04-07,Acad. Advising,social,check_in,closed,urgent,ST010,,
SI00080,WF00051,S0065,2026-03-06,2026-03-23,Residential Life,behavioral,handoff,closed,medium,ST016,,
SI00130,WF00082,S0121,2026-02-17,,Residential Life,social,handoff,Open,medium,,,
SI00438,WF00278,S0393,2026-02-22,2026-03-14,Acad. Advising,wellbeing,handoff,Closed,low,ST009,,
SI00654,WF00405,S0591,2026-03-17,,financial aid,financial,check_in,open,medium,,,
SI00540,WF00333,S0505,2026-03-11,2026-03-25,FinAid,social,handoff,Closed,medium,ST013,,
SI00245,WF00163,S0222,2026-02-20,2026-03-07,FinAid,social,check_in,Closed,medium,ST013,,
SI00147,WF00094,S0141,2026-02-03,2026-02-11,Counseling  ,academic,referral,closed,urgent,ST003,Counseling,
SI00360,WF00231,S0319,2026-03-02,2026-02-25,Financial Aid,behavioral,handoff,closed ,high,ST013,,
SI00590,WF00363,S0539,2026-02-05,,academic advising,wellbeing,check_in,open,low,,,
SI00041,WF00026,S0031,2026-02-25,2026-03-10,Financial Aid,behavioral,referral,closed,high,ST012,Counseling,
SI00306,WF00198,S0273,2026-02-20,,counseling,financial,referral,OPEN,medium,,Residential Life,
SI00482,WF00301,S0444,2026-03-19,,Acad. Advising,social,referral,open,high,,Academic Advising,
SI00338,WF00216,S0295,2026-02-17,2026-03-09,financial aid,behavioral,referral,closed,urgent,ST013,Counseling,
SI00289,WF00189,S0257,2026-02-28,2026-03-02,Acad. Advising,behavioral,handoff,closed ,medium,ST010,,
SI00242,WF00161,S0217,2026-03-02,2026-03-08,Academic Advising,academic,referral,Closed,high,,Residential Life,
SI00272,WF00180,S0246,2026-02-09,,Counseling,social,referral,Open,high,,Residential Life,Financial Aid
SI00163,WF00107,S0157,2026-03-10,,DOS,social,check_in,OPEN,urgent,,,
SI00264,WF00175,S0238,2026-03-22,,FinAid,wellbeing,referral,OPEN,low,ST013,Academic Advising,
SI00219,WF00145,S0202,2026-03-02,2026-03-19,Counseling,academic,handoff,closed,medium,ST002,,
SI00731,WF00460,S0673,2026-02-25,2026-03-16,Financial Aid,behavioral,handoff,closed ,high,ST013,,
SI00092,WF00059,S0081,2026-02-19,,FinAid,social,check_in,OPEN,urgent,,,
SI00342,WF00218,S0297,2026-02-06,,FinAid,academic,referral,Open,high,ST011,Residential Life,
SI00547,WF00336,S0512,2026-03-13,2026-03-24,residential life,social,referral,closed ,low,ST016,Financial Aid,Counseling
SI00396,WF00253,S0354,2026-03-10,2026-03-05,ResLife,academic,handoff,closed,medium,ST016,,
SI00065,WF00040,S0052,2026-03-09,,Academic Advising,academic,referral,Open,high,,Counseling,
SI00406,WF00261,S0362,2026-02-20,2026-03-04,counseling,social,referral,Closed,urgent,ST001,Academic Advising,
SI00101,WF00066,S0091,2026-02-16,2026-02-24,Counseling,wellbeing,handoff,closed ,low,ST001,,
SI00207,WF00139,S0198,2026-03-12,,Dean of Students,behavioral,referral,OPEN,medium,ST014,Counseling,Counseling
SI00767,WF00483,S0699,2026-02-06,2026-02-17,dean of students,wellbeing,handoff,closed ,urgent,,,
SI00707,WF00445,S0653,2026-02-24,2026-03-09,dean of students,academic,handoff,closed ,low,ST014,,
SI00330,WF00210,S0292,2026-02-05,2026-02-25,dean of students,behavioral,referral,Closed,urgent,ST014,Residential Life,
SI00682,WF00428,S0619,2026-02-07,2026-02-09,FinAid,social,check_in,closed ,medium,ST012,,
SI00139,WF00087,S0124,2026-03-02,2026-03-13,academic advising,financial,referral,closed ,low,ST006,Financial Aid,Dean of Students
SI00711,WF00448,S0657,2026-03-13,2026-03-27,Dean of Students,wellbeing,handoff,Closed,urgent,ST014,,
SI00542,WF00333,S0505,2026-03-17,2026-04-05,FinAid,academic,handoff,closed,medium,ST013,,
SI00441,WF00279,S0394,2026-03-16,2026-03-23,Residential Life,social,handoff,closed,medium,ST017,,
SI00595,WF00366,S0548,2026-03-08,,Dean of Students,academic,handoff,OPEN,urgent,ST014,,
SI00032,WF00020,S0027,2026-02-24,,Academic Advising,academic,check_in,Open,high,,,
SI00209,WF00139,S0198,2026-03-14,,Dean of Students,behavioral,check_in,pending,low,ST015,,
SI00661,WF00411,S0596,2026-03-04,2026-03-11,Dean of Students,academic,referral,closed,high,ST014,Financial Aid,Academic Advising
SI00452,WF00286,S0414,2026-03-18,2026-03-23,Acad. Advising,academic,referral,Closed,low,ST006,faculty,Financial Aid
SI00142,WF00089,S0130,2026-02-18,2026-02-26,FinAid,financial,referral,closed,low,ST012,Academic Advising,
SI00560,WF00344,S0520,2026-03-16,2026-03-21,Counseling Center,academic,referral,closed,low,ST004,faculty,
SI00605,WF00372,S0553,2026-02-28,2026-03-06,Financial Aid,behavioral,handoff,closed,high,ST013,,
SI00202,WF00134,S0189,2026-02-20,2026-03-03,DOS,social,handoff,closed ,low,ST014,,
SI00337,WF00215,S0294,2026-03-05,2026-03-07,Counseling Center,academic,referral,closed ,medium,ST003,Dean of Students,
SI00040,WF00025,S0028,2026-03-13,2026-03-25,Counseling,social,handoff,closed,low,,,
SI00137,WF00085,S0122,2026-03-06,,Counseling,behavioral,check_in,OPEN,high,,,
SI00746,WF00469,S0683,2026-02-24,2026-03-11,dean of students,financial,handoff,closed ,urgent,ST014,,
SI00705,WF00443,S0647,2026-03-13,2026-03-21,residential life,behavioral,referral,closed ,urgent,ST017,Academic Advising,
SI00378,WF00241,S0333,2026-03-20,2026-03-27,dean of students,financial,check_in,closed ,low,ST015,,
SI00362,WF00233,S0322,2026-02-06,,dean of students,behavioral,check_in,Open,high,ST014,,
SI00063,WF00038,S0047,2026-02-20,2026-03-10,residential life,behavioral,referral,closed,urgent,ST018,Financial Aid,Financial Aid
SI00744,WF00468,S0683,2026-02-10,2026-02-17,Residential Life,social,referral,closed ,low,ST017,faculty,
SI00107,WF00069,S0099,2026-02-24,2026-03-10,Counseling,behavioral,handoff,Closed,high,ST004,,
SI00402,WF00257,S0360,2026-02-21,,DOS,wellbeing,handoff,Open,urgent,ST014,,
SI00324,WF00208,S0285,2026-02-19,2026-03-02,counseling,wellbeing,referral,closed,medium,ST004,Dean of Students,Financial Aid
SI00249,WF00165,S0222,2026-02-18,,dean of students,behavioral,handoff,open,urgent,ST015,,
SI00720,WF00453,S0664,2026-02-25,,Academic Advising,social,handoff,Open,medium,ST006,,
SI00741,WF00466,S0676,2026-02-02,2026-02-15,financial aid,academic,referral,Closed,urgent,ST011,Dean of Students,
SI00444,WF00281,S0407,2026-02-06,2026-02-09,counseling,academic,handoff,closed,low,ST001,,
SI00117,WF00075,S0108,2026-02-17,2026-02-27,Dean of Students,wellbeing,handoff,Closed,medium,,,
SI00114,WF00072,S0104,2026-02-12,2026-02-17,ResLife,academic,handoff,closed ,high,ST018,,
SI00261,WF00173,S0230,2026-02-02,,Acad. Advising,wellbeing,handoff,OPEN,high,ST010,,
SI00531,WF00328,S0498,2026-02-26,,DOS,financial,referral,open,low,,Academic Advising,
SI00239,WF00159,S0216,2026-03-13,,Counseling Center,financial,handoff,Open,urgent,,,
SI00628,WF00386,S0567,2026-03-10,2026-03-21,Acad. Advising,social,check_in,closed,urgent,ST007,,
SI00185,WF00122,S0178,2026-03-22,2026-03-25,Counseling Center,academic,referral,closed ,medium,ST001,faculty,
SI00059,WF00035,S0041,2026-02-22,2026-02-26,counseling,financial,referral,closed,low,ST003,Academic Advising,Academic Advising
SI00252,WF00166,S0224,2026-03-18,2026-04-02,FinAid,academic,referral,closed ,urgent,ST011,self,Academic Advising
SI00697,WF00436,S0632,2026-02-21,2026-03-04,FinAid,social,referral,Closed,high,ST012,Residential Life,
SI00679,WF00426,S0617,2026-02-12,2026-03-01,FinAid,social,referral,closed ,high,,self,Counseling
SI00215,WF00143,S0201,2026-02-06,2026-02-11,counseling,social,handoff,Closed,high,ST002,,
SI00439,WF00278,S0393,2026-02-22,2026-02-23,Acad. Advising,wellbeing,check_in,closed ,urgent,ST007,,
SI00181,WF00120,S0174,2026-02-05,2026-02-22,ResLife,social,referral,Closed,high,,Counseling,
SI00623,WF00382,S0559,2026-03-09,2026-03-14,Dean of Students,social,handoff,closed,urgent,ST015,,
SI00732,WF00461,S0674,2026-02-19,2026-02-23,Financial Aid,behavioral,referral,closed ,high,,Academic Advising,Dean of Students
SI00036,WF00023,S0028,2026-03-17,2026-04-03,ResLife,social,referral,closed,urgent,,Financial Aid,Financial Aid
SI00352,WF00225,S0308,2026-03-06,2026-03-07,Acad. Advising,behavioral,referral,closed,high,ST005,Dean of Students,
SI00343,WF00218,S0297,2026-02-10,,FinAid,behavioral,check_in,open,low,,,
SI00610,WF00374,S0554,2026-02-13,2026-03-03,Counseling Center,wellbeing,handoff,closed,low,ST002,,
SI00745,WF00468,S0683,2026-02-14,2026-02-23,Residential Life,wellbeing,referral,closed ,high,ST017,faculty,Academic Advising
SI00760,WF00479,S0692,2026-03-02,,Financial Aid,financial,referral,Pending,urgent,ST013,Residential Life,
SI00302,WF00195,S0267,2026-03-19,,Residential Life,financial,referral,Pending,urgent,,faculty,
SI00776,WF00034,S0038,2026-03-14,2026-03-27,residential life,wellbeing,referral,closed ,urgent,ST017,Financial Aid,
SI00576,WF00355,S0528,2026-03-20,2026-03-29,Residential Life,behavioral,referral,closed,urgent,ST016,self,
SI00132,WF00083,S0121,2026-03-13,,FinAid,financial,referral,OPEN,urgent,,faculty,
SI00721,WF00454,S0664,2026-03-12,,Acad. Advising,financial,referral,open,low,ST010,faculty,
SI00307,WF00198,S0273,2026-02-25,,counseling,behavioral,referral,Open,medium,ST004,self,
SI00766,WF00482,S0699,2026-03-19,,Acad. Advising,social,referral,OPEN,urgent,ST006,Residential Life,Residential Life
SI00647,WF00399,S0587,2026-03-17,,residential life,financial,check_in,OPEN,high,ST018,,
SI00577,WF00355,S0528,2026-03-21,2026-03-24,Residential Life,academic,referral,closed,low,ST018,faculty,Dean of Students
SI00780,WF00414,S0598,2026-02-05,,Counseling  ,social,handoff,open,low,ST004,,
SI00022,WF00013,S0016,2026-02-16,2026-02-26,Acad. Advising,social,check_in,closed ,medium,ST005,,
SI00045,WF00027,S0032,2026-03-19,2026-03-25,financial aid,social,referral,closed,medium,ST013,Academic Advising,Counseling
SI00204,WF00136,S0190,2026-03-04,2026-03-15,dean of students,financial,check_in,closed,high,ST014,,
SI00358,WF00229,S0316,2026-02-22,,dean of students,financial,check_in,OPEN,low,ST015,,
SI00175,WF00117,S0169,2026-03-10,2026-03-24,Academic Advising,wellbeing,referral,closed,medium,ST007,self,
SI00066,WF00041,S0052,2026-02-24,,dean of students,wellbeing,check_in,open,urgent,ST015,,
SI00401,WF00257,S0360,2026-02-19,,DOS,academic,check_in,OPEN,urgent,,,
SI00450,WF00285,S0411,2026-02-26,,Counseling  ,financial,check_in,open,high,,,
SI00052,WF00032,S0036,2026-02-24,,FinAid,behavioral,check_in,OPEN,medium,,,
SI00273,WF00180,S0246,2026-02-13,,Counseling,social,referral,Open,high,,faculty,
SI00528,WF00326,S0494,2026-03-07,2026-03-26,FinAid,wellbeing,check_in,closed ,low,ST013,,
SI00091,WF00059,S0081,2026-02-16,,FinAid,social,check_in,open,medium,ST013,,
SI00034,WF00022,S0027,2026-02-27,2026-03-19,DOS,behavioral,referral,closed ,high,,Residential Life,Financial Aid
SI00638,WF00393,S0574,2026-03-18,,Counseling Center,financial,handoff,OPEN,medium,,,
SI00578,WF00356,S0531,2026-03-12,2026-03-20,counseling,financial,handoff,closed,low,ST002,,
SI00068,WF00042,S0052,2026-03-17,2026-04-05,academic advising,behavioral,handoff,closed ,low,,,
SI00400,WF00256,S0358,2026-02-11,2026-02-28,FinAid,behavioral,referral,closed ,low,ST012,Residential Life,
SI00620,WF00381,S0559,2026-02-16,2026-02-27,academic advising,financial,referral,closed,medium,ST005,self,Dean of Students
SI00379,WF00242,S0334,2026-02-02,,residential life,behavioral,handoff,pending,medium,,,
SI00708,WF00446,S0654,2026-02-25,2026-03-02,Acad. Advising,social,handoff,closed,high,ST005,,
SI00387,WF00247,S0338,2026-02-09,2026-02-25,Residential Life,academic,check_in,Closed,low,ST017,,
SI00287,WF00188,S0256,2026-02-19,,Dean of Students,wellbeing,referral,OPEN,medium,ST015,Dean of Students,Counseling
SI00421,WF00269,S0375,2026-03-22,2026-04-07,dean of students,social,check_in,closed ,medium,ST014,,
SI00722,WF00455,S0666,2026-03-20,2026-03-30,Counseling,behavioral,handoff,closed,high,ST001,,
SI00136,WF00084,S0122,2026-03-04,,dean of students,financial,handoff,Open,urgent,ST015,,
SI00201,WF00133,S0187,2026-03-12,2026-03-20,FinAid,wellbeing,referral,closed,low,ST011,Financial Aid,
SI00683,WF00428,S0619,2026-02-07,2026-02-19,FinAid,academic,check_in,closed ,urgent,ST012,,
SI00361,WF00232,S0320,2026-03-18,2026-03-21,Counseling,social,check_in,closed ,medium,ST002,,
SI00350,WF00223,S0306,2026-02-08,2026-02-23,financial aid,behavioral,handoff,closed ,low,ST011,,
SI00503,WF00314,S0465,2026-03-03,2026-03-09,Counseling  ,behavioral,check_in,closed ,high,ST003,,
SI00094,WF00060,S0081,2026-02-04,,Academic Advising,social,handoff,OPEN,low,ST007,,
SI00754,WF00475,S0689,2026-02-09,2026-02-13,Academic Advising,behavioral,handoff,closed ,low,ST005,,
SI00216,WF00143,S0201,2026-02-08,2026-02-11,counseling,social,referral,Closed,urgent,ST002,faculty,Financial Aid
SI00539,WF00332,S0505,2026-03-26,2026-03-31,Residential Life,financial,handoff,closed ,low,ST016,,
SI00475,WF00298,S0435,2026-03-13,,Counseling Center,social,referral,open,high,,Dean of Students,Academic Advising
SI00509,WF00317,S0476,2026-03-14,,Academic Advising,social,check_in,open,low,,,
SI00319,WF00205,S0278,2026-03-24,2026-03-27,Dean of Students,behavioral,referral,closed ,low,ST015,Dean of Students,
SI00003,WF00003,S9999,2026-02-06,2026-02-10,Financial Aid,financial,check_in,Closed,high,ST012,,
SI00300,WF00193,S0266,2026-02-25,2026-03-04,ResLife,behavioral,check_in,Closed,low,ST018,,
SI00276,WF00182,S0247,2026-02-10,2026-02-20,Academic Advising,wellbeing,handoff,Closed,low,ST009,,
SI00256,WF00170,S0226,2026-03-18,2026-04-06,counseling,academic,handoff,closed ,high,ST001,,
SI00384,WF00246,S0336,2026-03-11,2026-03-17,FinAid,academic,referral,Closed,medium,ST013,Academic Advising,
SI00241,WF00160,S0217,2026-03-03,2026-03-18,ResLife,academic,referral,closed ,medium,,self,
SI00626,WF00384,S0563,2026-02-27,,Acad. Advising,academic,check_in,open,medium,,,
SI00210,WF00140,S0199,2026-03-02,2026-03-10,Financial Aid,academic,handoff,closed,medium,ST012,,
SI00414,WF00265,S0366,2026-02-05,2026-02-18,Dean of Students,financial,check_in,closed,medium,ST014,,
SI00432,WF00275,S0385,2026-02-26,2026-03-02,DOS,wellbeing,referral,Closed,medium,,Financial Aid,
SI00678,WF00425,S0617,2026-02-02,,residential life,wellbeing,handoff,open,urgent,ST018,,
SI00724,WF00456,S0671,2026-02-28,,Dean of Students,academic,referral,Open,low,ST015,Academic Advising,
SI00171,WF00114,S0164,2026-02-24,2026-02-26,dean of students,social,referral,Closed,medium,ST015,Counseling,Financial Aid
SI00121,WF00076,S0108,2026-02-08,2026-02-18,ResLife,social,referral,closed ,urgent,,Residential Life,
SI00223,WF00147,S0204,2026-02-19,,Residential Life,financial,check_in,OPEN,low,ST018,,
SI00399,WF00255,S0358,2026-02-13,2026-03-03,FinAid,social,check_in,Closed,medium,ST012,,
SI00334,WF00214,S0293,2026-03-17,2026-03-23,Financial Aid,financial,handoff,closed,high,ST011,,
SI00657,WF00408,S0592,2026-03-18,2026-03-19,DOS,academic,referral,Closed,medium,ST015,self,
SI00048,WF00029,S0035,2026-03-23,2026-04-09,financial aid,wellbeing,referral,Closed,low,ST012,Academic Advising,Academic Advising
SI00340,WF00217,S0297,2026-02-26,,academic advising,academic,check_in,Open,high,ST008,,
SI00212,WF00141,S0199,2026-03-20,2026-04-07,Academic Advising,wellbeing,check_in,closed,medium,ST005,,
SI00602,WF00370,S0551,2026-02-08,2026-02-26,Academic Advising,academic,referral,closed ,high,ST005,Dean of Students,
SI00575,WF00354,S0528,2026-03-09,,dean of students,financial,referral,OPEN,medium,,faculty,Academic Advising
SI00011,WF00006,S0007,2026-02-24,2026-02-27,Counseling  ,social,check_in,closed,urgent,,,
SI00695,WF00436,S0632,2026-02-13,2026-02-16,FinAid,academic,handoff,Closed,low,ST011,,
SI00510,WF00317,S0476,2026-03-17,,Academic Advising,behavioral,check_in,Open,urgent,ST005,,
SI00024,WF00015,S0020,2026-02-13,,residential life,behavioral,handoff,open,medium,,,
SI00085,WF00054,S0067,2026-02-25,,counseling,financial,check_in,Open,urgent,,,
SI00111,WF00071,S0103,2026-03-08,2026-03-13,residential life,wellbeing,check_in,closed,low,ST018,,
SI00280,WF00183,S0251,2026-02-06,2026-02-16,ResLife,financial,referral,closed ,low,ST016,Academic Advising,Counseling
SI00158,WF00103,S0148,2026-03-11,,dean of students,behavioral,handoff,open,urgent,ST014,,
SI00301,WF00194,S0266,2026-03-12,,FinAid,financial,check_in,OPEN,low,,,
SI00376,WF00240,S0328,2026-02-27,2026-03-11,FinAid,wellbeing,referral,closed ,urgent,ST012,Residential Life,
SI00295,WF00192,S0264,2026-03-06,,academic advising,academic,referral,open,high,ST009,Dean of Students,
SI00002,WF00002,S0000,2026-03-20,,residential life,social,handoff,OPEN,low,ST017,,
SI00530,WF00327,S0498,2026-02-07,,Counseling,financial,handoff,open,medium,ST002,,
SI00051,WF00031,S0035,2026-02-27,2026-03-13,DOS,academic,check_in,closed ,high,ST014,,
SI00473,WF00297,S0435,2026-02-23,2026-03-03,Counseling,wellbeing,referral,closed,medium,,faculty,
SI00594,WF00366,S0548,2026-03-06,,Dean of Students,wellbeing,handoff,open,medium,,,
SI00357,WF00229,S0316,2026-02-19,,dean of students,financial,handoff,OPEN,urgent,ST014,,
SI00348,WF00222,S0303,2026-03-05,2026-03-08,Residential Life,financial,referral,closed ,urgent,ST017,Residential Life,Dean of Students
SI00017,WF00010,S0013,2026-02-06,2026-02-12,dean of students,social,referral,closed,urgent,ST014,Residential Life,
SI00769,WF00484,S0700,2026-03-20,2026-03-26,Counseling Center,social,handoff,closed,high,ST004,,
SI00278,WF00183,S0251,2026-02-04,2026-02-08,ResLife,academic,referral,closed,low,ST018,Residential Life,
SI00555,WF00341,S0517,2026-03-19,2026-04-02,academic advising,wellbeing,check_in,Closed,medium,ST010,,
SI00570,WF00351,S0527,2026-03-06,2026-03-26,Residential Life,social,referral,closed,urgent,ST017,Counseling,Counseling
SI00135,WF00084,S0122,2026-03-02,,dean of students,financial,referral,OPEN,high,ST014,Academic Advising,Academic Advising
SI00411,WF00264,S0365,2026-03-04,2026-03-22,Dean of Students,wellbeing,referral,Closed,low,,Dean of Students,
SI00642,WF00396,S0578,2026-02-04,2026-02-22,ResLife,financial,handoff,closed,low,ST016,,
SI00229,WF00152,S0208,2026-02-23,2026-03-01,Counseling,behavioral,referral,closed,low,ST002,faculty,
SI00186,WF00123,S0179,2026-02-04,2026-02-25,Residential Life,wellbeing,referral,closed ,high,ST018,faculty,Financial Aid
SI00688,WF00432,S0628,2026-02-05,2026-02-24,Financial Aid,financial,referral,Closed,medium,ST012,faculty,
SI00174,WF00116,S0167,2026-03-18,2026-04-08,Counseling,academic,referral,Closed,high,ST002,Dean of Students,
SI00550,WF00338,S0515,2026-03-17,2026-03-22,dean of students,behavioral,referral,closed,low,ST015,Financial Aid,
SI00004,WF00003,S0005,2026-02-07,2026-02-11,IT Helpdesk,behavioral,referral,closed,urgent,ST011,Dean of Students,
SI00714,WF00449,S0657,2026-03-01,2026-03-21,DOS,wellbeing,check_in,closed,medium,ST014,,
SI00582,WF00358,S0535,2026-02-20,2026-03-09,financial aid,behavioral,handoff,closed ,high,ST011,,
SI00458,WF00289,S0425,2026-02-28,2026-03-07,Acad. Advising,social,referral,closed,low,ST008,Residential Life,Financial Aid
SI00658,WF00409,S0593,2026-02-23,2026-02-24,financial aid,social,check_in,Closed,high,ST012,,
SI00499,WF00312,S0455,2026-02-03,,ResLife,academic,check_in,OPEN,low,ST017,,
SI00504,WF00315,S0466,2026-02-09,2026-02-23,financial aid,wellbeing,check_in,closed,urgent,ST013,,
SI00071,WF00045,S0059,2026-02-12,2026-02-28,Acad. Advising,financial,check_in,Closed,urgent,ST009,,
SI00253,WF00167,S0225,2026-03-11,,financial aid,academic,referral,open,high,ST011,Dean of Students,Dean of Students
SI00120,WF00076,S0108,2026-02-04,2026-02-09,ResLife,social,referral,closed ,low,ST018,Residential Life,
SI00377,WF00240,S0328,2026-03-01,2026-03-07,FinAid,academic,check_in,Closed,high,ST012,,
