student_id,week_number,attendance_rate,lms_logins,lms_activity_score,sessions_missed,participation_score
S0008,5,0.729,1,53.8,0,6.52
S0008,6,0.648,0,40.8,1,6.47
S0008,7,0.587,2,28.8,1,6.4
S0009,1,1.0,5,77.5,0,9.86
S0009,2,0.917,7,70.0,0,8.02
S0009,3,0.82,8,65.0,0,8.39
S0009,4,0.727,0,58.5,1,8.51
S0009,5,0.744,0,57.4,1,7.75
S0009,6,0.621,0,50.3,2,7.65
S0009,7,0.619,0,37.8,1,5.84
S0010,1,0.874,8,58.4,0,5.31
S0010,2,0.845,5,51.1,0,3.91
S0010,3,0.86,8,67.9,0,3.28
S0010,4,0.685,1,37.3,1,3.36
S0010,5,0.658,0,35.8,1,2.8
S0010,6,0.67,6,42.1,1,1.4
S0010,7,0.527,0,29.9,2,1.34
S0011,1,0.72,13,67.2,1,6.74
S0011,2,0.733,17,74.7,1,5.29
S0011,3,0.754,13,72.2,0,5.37
S0011,4,0.744,18,63.7,1,5.7
S0011,5,0.781,12,73.1,1,5.75
S0011,6,0.771,18,65.1,0,7.23
S0011,7,0.712,14,77.7,1,6.13
S0012,1,0.591,10,23.5,1,1.0
S0012,2,0.561,11,24.3,2,2.83
S0012,3,0.553,9,18.6,2,2.07
S0012,4,0.589,9,21.5,1,2.23
S0012,5,0.627,13,27.1,1,3.07
S0012,6,0.549,12,35.5,1,1.56
S0012,7,0.62,14,21.5,1,2.54
S0013,1,0.867,19,43.2,0,4.84
S0013,2,0.869,13,40.4,0,6.34
S0013,3,0.833,11,30.6,0,4.97
S0013,4,0.827,20,51.6,0,5.77
S0013,5,0.959,14,39.6,0,8.75
S0013,6,1.0,23,58.5,0,7.22
S0013,7,0.989,26,52.0,0,6.28
S0014,1,0.97,14,43.1,0,7.1
S0014,2,0.904,7,43.7,0,7.24
S0014,3,0.948,2,42.1,0,5.26
S0014,4,0.979,9,45.9,0,5.29
S0014,5,0.871,7,34.7,0,5.3
S0014,6,0.896,4,52.0,0,6.48
S0014,7,0.88,7,43.6,0,7.08
S0015,1,0.822,16,80.0,1,7.82
S0015,2,0.694,24,82.0,1,5.81
S0015,3,0.804,24,71.5,0,7.48
S0015,4,1.05,15,69.2,0,6.86
S0015,5,0.772,17,70.8,1,6.74
S0015,6,0.794,20,76.9,0,7.04
S0015,7,0.801,22,76.3,0,5.2
S0016,1,0.842,5,54.0,0,6.76
S0016,2,0.784,5,42.5,1,8.22
S0016,3,0.705,5,41.5,1,5.62
S0016,4,0.697,1,42.1,1,6.81
S0016,5,0.684,4,46.4,0,5.15
S0016,6,0.619,2,40.5,1,4.99
S0016,7,0.448,0,25.9,1,3.22
S0017,1,0.822,14,83.4,1,7.48
S0017,2,0.794,10,82.1,0,7.89
S0017,3,0.734,13,80.7,0,5.37
S0017,4,0.727,7,75.7,0,7.86
S0017,5,0.614,9,70.2,1,5.16
S0017,6,0.625,1,67.6,1,3.83
S0017,7,0.564,0,70.3,2,5.76
S0018,1,0.96,17,51.9,0,6.22
S0018,2,1.0,14,67.1,0,7.09
S0018,3,0.998,20,57.1,0,6.53
S0018,4,0.994,13,57.0,0,6.97
S0018,5,0.963,19,62.8,0,5.93
S0018,6,1.11,17,62.7,0,5.63
S0018,7,1.0,12,59.9,0,6.99
S0019,1,0.615,6,28.5,1,2.8
S0019,2,0.631,9,33.8,1,0
S0019,3,0.679,6,31.0,1,2.4
S0019,4,0.601,8,28.9,1,0.49
S0019,5,0.628,11,32.6,1,1.68
S0019,6,0.661,5,20.0,1,1.07
S0019,7,0.639,7,26.4,1,2.09
S0020,1,0.986,18,65.1,0,6.65
S0020,2,0.887,15,63.9,0,6.75
S0020,3,0.919,16,57.0,0,6.46
S0020,4,0.872,19,65.5,0,7.22
S0020,5,0.903,15,52.8,0,5.06
S0020,6,0.867,19,61.8,0,5.61
S0020,7,0.851,18,65.5,0,5.87
S0021,1,0.996,21,73.7,0,8.07
S0021,2,0.983,17,73.2,0,7.66
S0021,3,0.992,21,64.8,0,8.38
S0021,4,0.966,14,70.5,0,6.6
S0021,5,0.987,25,62.8,0,7.31
S0021,6,0.929,21,72.7,0,6.64
S0021,7,0.945,30,76.1,0,4.96
S0022,1,0.811,16,58.9,0,6.4
S0022,2,0.74,22,60.9,1,6.13
S0022,3,0.769,16,63.8,1,8.4
S0022,4,0.776,15,51.4,1,7.03
S0022,5,0.784,19,69.2,1,7.36
S0022,6,0.766,19,67.5,0,7.89
S0022,7,0.766,14,64.9,1,6.79
S0023,1,0.889,15,55.9,0,6.3
S0023,2,1.0,12,55.6,0,6.85
S0023,3,1.0,16,68.6,0,6.53
S0023,4,0.582,1,30.0,1,2.38
S0023,5,0.692,0,32.1,1,3.91
S0023,6,0.604,1,33.8,1,3.38
S0023,7,0.649,0,43.2,1,2.3
S0024,1,1.0,29,44.4,0,4.66
S0024,2,0.992,27,52.6,0,3.36
S0024,3,1.0,24,45.9,0,5.2
S0024,4,1.0,23,55.0,0,4.71
S0024,5,0.95,27,58.4,0,3.82
S0024,6,1.0,27,47.3,0,4.88
S0024,7,1.0,25,56.9,0,4.75
S0025,1,0.753,20,73.4,0,7.85
S0025,2,0.69,20,69.5,1,6.41
S0025,3,0.714,10,71.1,1,7.39
S0025,4,0.808,24,73.4,0,7.13
S0025,5,0.816,21,76.3,0,6.67
S0025,6,0.92,19,80.7,0,5.84
S0025,7,0.901,20,81.8,0,7.63
S0026,1,0.896,23,59.6,0,6.31
S0026,2,0.881,22,53.0,0,6.54
S0026,3,0.946,26,48.9,0,6.73
S0026,4,0.917,21,61.4,0,5.68
S0026,5,0.949,25,50.0,0,5.97
S0026,6,0.868,26,55.8,0,5.78
S0026,7,0.836,22,52.0,0,5.66
S0027,1,0.782,11,61.7,0,8.3
S0027,2,0.756,6,59.6,0,6.84
S0027,3,0.744,13,57.1,1,6.12
S0027,4,0.82,9,58.3,0,7.39
S0027,5,0.786,5,49.1,1,6.17
S0027,6,0.94,6,48.9,1,5.96
S0027,7,0.668,11,50.6,1,5.8
S0028,1,0.88,8,74.0,0,6.18
S0028,2,0.881,2,69.1,0,6.05
S0028,3,0.824,6,64.1,0,6.35
S0028,4,0.868,5,60.4,0,6.28
S0028,5,0.798,3,71.1,1,6.61
S0028,6,0.788,0,71.6,1,7.57
S0028,7,0.793,5,52.2,0,6.21
S0029,1,0.939,1,49.5,0,9.51
S0029,2,0.933,2,58.0,0,7.96
S0029,3,0.982,8,58.4,0,10
S0029,4,0.938,3,50.4,0,8.24
S0029,5,1.0,6,62.4,0,9.71
S0029,6,0.921,2,52.6,0,9.89
S0029,7,1.0,4,42.8,0,8.69
S0030,1,0.842,14,68.3,0,7.03
S0030,2,0.806,13,64.2,0,6.16
S0030,3,0.841,11,72.5,0,5.84
S0030,4,0.83,7,68.4,0,8.65
S0030,5,0.777,11,64.6,0,6.54
S0030,6,0.792,17,70.6,1,7.1
S0030,7,0.75,16,75.0,0,6.65
S0031,1,0.75,9,74.8,1,4.89
S0031,2,0.759,6,65.8,1,6.07
S0031,3,0.815,10,73.7,0,5.27
S0031,4,0.835,14,61.5,0,5.76
S0031,5,0.805,13,58.7,0,7.11
S0031,6,0.781,14,61.5,1,6.45
S0031,7,0.8,11,67.9,0,5.02
S0032,1,0.974,18,35.4,0,7.92
S0032,2,0.904,16,37.3,0,7.46
S0032,3,0.845,16,21.8,0,7.29
S0032,4,0.833,14,30.5,1,6.27
S0032,5,0.676,9,21.6,1,4.48
S0032,6,0.677,12,19.0,0,4.58
S0032,7,0.555,0,4.3,2,3.22
S0033,1,0.816,16,57.0,0,7.25
S0033,2,0.812,8,43.3,1,4.6
S0033,3,0.778,5,36.6,0,5.19
S0033,4,0.706,3,33.6,1,3.95
S0033,5,0.618,0,25.4,1,4.26
S0033,6,0.533,0,33.4,1,3.39
S0033,7,0.476,0,13.6,3,3.53
S0034,1,0.69,21,27.3,0,1.46
S0034,2,0.735,24,31.7,1,4.17
S0034,3,0.6,23,33.5,2,1.8
S0034,4,0.576,19,39.1,2,2.74
S0034,5,0.589,19,32.8,1,3.65
S0034,6,0.651,18,33.9,1,2.14
S0034,7,0.722,19,33.4,1,3.32
S0035,1,0.845,25,49.8,0,4.49
S0035,2,0.86,19,52.1,0,5.37
S0035,3,0.716,16,50.5,1,4.75
S0035,4,0.803,19,50.0,0,5.97
S0035,5,0.786,20,50.2,1,7.2
S0035,6,0.726,20,42.4,1,4.75
S0035,7,0.744,22,49.4,0,4.8
S0036,1,1.0,10,50.1,0,7.3
S0036,2,0.969,5,56.7,0,7.13
S0036,3,0.963,10,53.7,0,7.55
S0036,4,1.24,8,53.8,0,8.37
S0036,5,0.953,9,52.1,0,8.01
S0036,6,0.881,11,50.0,0,8.17
S0036,7,0.937,9,45.9,0,7.96
S0037,1,0.765,23,50.7,1,5.03
S0037,2,0.785,22,61.3,1,5.04
S0037,3,0.85,26,52.2,0,5.17
S0037,4,0.794,25,49.4,0,4.78
S0037,5,0.875,23,54.7,0,5.36
S0037,6,0.866,27,47.7,0,3.26
S0037,7,0.827,23,47.3,0,5.53
S0038,1,0.843,16,75.0,0,3.92
S0038,2,0.845,11,79.6,0,2.47
S0038,3,0.865,19,75.5,0,3.13
S0038,4,0.903,15,81.2,0,4.83
S0038,5,0.841,9,82.1,0,2.29
S0038,6,0.895,13,86.9,0,3.8
S0038,7,0.857,19,83.9,0,3.11
S0039,1,0.671,16,19.6,1,2.5
S0039,2,0.664,17,45.3,1,1.95
S0039,3,0.723,17,39.5,1,1.64
S0039,4,0.693,13,35.6,1,3.16
S0039,5,0.67,14,29.5,1,2.93
S0039,6,0.658,13,39.2,1,2.31
S0039,7,0.678,14,48.9,1,2.56
S0040,1,1.0,15,71.6,0,7.49
S0040,2,0.984,19,61.4,0,9.27
S0040,3,0.966,17,67.1,0,7.26
S0040,4,0.999,17,64.7,0,7.97
S0040,5,1.0,23,65.1,0,8.66
S0040,6,0.996,18,71.4,0,7.04
S0040,7,0.992,19,65.9,0,10
S0041,1,0.983,10,50.8,0,4.41
S0041,2,1.11,7,51.7,0,5.3
S0041,3,0.839,10,46.1,0,4.66
S0041,4,0.995,13,45.8,0,4.77
S0041,5,0.975,16,56.5,0,5.36
S0041,6,1.0,9,49.9,0,6.32
S0041,7,1.0,14,50.4,0,7.07
S0042,1,0.799,15,91.1,0,5.22
S0042,2,0.72,14,94.6,1,5.76
S0042,3,0.765,15,85.8,1,5.31
S0042,4,0.742,10,77.8,0,5.79
S0042,5,0.823,22,85.1,1,4.05
S0042,6,0.785,15,95.8,1,3.95
S0042,7,0.849,12,82.1,0,4.23
S0043,1,0.947,17,46.6,0,6.61
S0043,2,0.824,13,51.0,1,6.55
S0043,3,0.743,10,48.3,1,6.45
S0043,4,0.667,7,45.4,1,6.99
S0043,5,0.645,11,44.2,1,5.45
S0043,6,0.545,5,36.2,2,5.33
S0043,7,0.476,0,30.9,1,4.9
S0044,1,0.758,15,76.8,1,4.38
S0044,2,0.687,8,69.6,1,5.25
S0044,3,0.604,8,62.8,1,2.78
S0044,4,0.579,7,64.6,2,3.33
S0044,5,0.522,0,59.1,1,3.6
S0044,6,0.474,0,52.6,2,2.54
S0044,7,0.541,0,50.7,1,0.87
S0045,1,0.829,9,70.5,1,2.65
S0045,2,0.819,6,65.7,0,3.3
S0045,3,0.849,10,73.2,0,3.27
S0045,4,0.865,9,69.0,0,3.23
S0045,5,0.78,7,64.9,1,4.45
S0045,6,0.906,9,59.7,0,4.29
S0045,7,0.826,8,61.7,0,4.15
S0046,1,0.882,21,70.0,0,7.01
S0046,2,0.909,23,74.0,0,8.48
S0046,3,0.895,19,76.0,0,8.92
S0046,4,0.908,27,66.7,0,8.69
S0046,5,0.885,20,64.9,0,10
S0046,6,0.893,18,71.1,0,9.71
S0046,7,0.876,21,64.2,0,9.05
S0047,1,0.693,19,90.8,1,7.93
S0047,2,0.736,16,85.4,0,5.39
S0047,3,0.774,11,91.6,1,6.36
S0047,4,0.707,17,85.3,1,7.54
S0047,5,0.793,12,86.4,0,7.03
S0047,6,0.734,16,83.9,0,5.9
S0047,7,0.76,18,99.8,1,5.41
S0048,1,0.621,21,30.1,2,0
S0048,2,0.751,18,19.8,0,0.06
S0048,3,0.765,21,25.3,1,1.72
S0048,4,0.731,20,39.3,1,2.61
S0048,5,0.675,22,35.1,0,2.8
S0048,6,0.756,14,15.4,1,2.01
S0048,7,0.734,16,21.7,1,1.2
S0049,1,0.817,19,38.4,0,6.51
S0049,2,0.874,19,29.8,0,5.56
S0049,3,0.895,18,37.6,0,6.39
S0049,4,0.885,15,38.7,0,7.1
S0049,5,0.902,20,28.0,0,5.68
S0049,6,0.868,15,41.0,0,5.43
S0049,7,0.794,19,33.5,0,5.87
S0050,1,0.89,13,66.2,0,9.62
S0050,2,0.856,16,61.6,0,8.67
S0050,3,0.959,17,68.2,0,9.25
S0050,4,0.89,16,71.5,0,8.66
S0050,5,0.894,15,52.1,0,9.19
S0050,6,0.881,18,60.9,0,8.69
S0050,7,0.921,21,64.9,0,8.44
S0051,1,0.596,13,41.8,1,1.67
S0051,2,0.673,18,43.1,0,2.73
S0051,3,0.647,15,48.1,1,1.96
S0051,4,0.585,12,47.5,1,0.81
S0051,5,0.63,14,48.6,1,1.26
S0051,6,0.666,15,42.3,1,0.26
S0051,7,0.649,14,38.0,1,2.49
S0052,1,0.79,14,78.4,0,8.68
S0052,2,0.767,11,68.4,0,9.18
S0052,3,0.784,16,69.2,1,8.44
S0052,4,0.719,8,72.4,0,10
S0052,5,0.753,12,59.2,0,7.89
S0052,6,0.781,10,61.9,1,7.33
S0052,7,0.704,10,69.8,0,8.34
S0053,1,0.843,12,87.5,0,7.01
S0053,2,0.727,14,78.7,1,7.04
S0053,3,0.741,17,81.7,1,8.04
S0053,4,0.749,13,90.0,1,6.86
S0053,5,0.818,6,90.5,0,7.24
S0053,6,0.67,16,85.8,1,8.13
S0053,7,0.78,19,82.1,0,8.31
S0054,1,0.963,12,54.4,0,6.32
S0054,2,0.866,18,49.6,0,5.89
S0054,3,0.911,16,58.7,0,5.6
S0054,4,0.99,17,54.6,0,5.7
S0054,5,0.887,14,64.7,0,5.89
S0054,6,0.929,13,61.8,0,6.57
S0054,7,0.962,19,61.6,0,5.85
S0055,1,0.865,7,45.7,0,5.54
S0055,2,0.893,9,39.6,0,4.85
S0055,3,0.879,13,41.7,0,3.7
S0055,4,0.78,16,44.0,0,5.33
S0055,5,0.84,10,36.5,0,6.52
S0055,6,0.807,13,45.2,0,4.86
S0055,7,0.919,11,33.4,0,5.11
S0056,1,0.778,9,58.6,1,7.37
S0056,2,0.704,10,51.2,0,8.55
S0056,3,0.658,0,64.7,1,7.23
S0056,4,0.562,5,63.5,1,7.75
S0056,5,0.551,0,42.7,2,5.1
S0056,6,0.495,0,41.2,2,6.25
S0056,7,0.35,0,32.6,2,4.12
S0057,1,0.903,2,66.0,0,9.82
S0057,2,0.916,5,64.0,0,8.42
S0057,3,0.891,11,74.5,0,7.28
S0057,4,0.859,0,56.5,0,7.05
S0057,5,0.962,5,53.0,0,7.18
S0057,6,0.934,2,52.6,0,7.89
S0057,7,0.873,1,62.6,0,6.9
S0058,1,0.81,12,54.0,1,7.02
S0058,2,0.848,14,56.1,0,8.0
S0058,3,0.838,14,60.7,0,8.08
S0058,4,0.813,14,63.2,0,6.3
S0058,5,0.8,17,54.2,0,6.59
S0058,6,0.841,17,56.9,0,7.68
S0058,7,0.846,15,56.2,0,6.91
S0059,1,0.937,10,83.5,0,9.0
S0059,2,0.946,9,70.0,0,7.45
S0059,3,0.943,6,70.8,0,8.8
S0059,4,0.94,9,83.0,0,8.86
S0059,5,0.949,3,81.7,0,7.64
S0059,6,0.948,2,71.2,0,8.44
S0059,7,0.94,5,83.8,0,8.08
S0060,1,0.933,16,65.7,0,8.34
S0060,2,0.922,23,64.7,0,8.25
S0060,3,0.787,17,59.7,0,7.17
S0060,4,0.74,16,46.9,0,7.61
S0060,5,0.702,8,40.5,1,7.64
S0060,6,0.615,10,36.3,2,6.43
S0060,7,0.508,6,37.3,2,4.98
S0061,1,0.946,24,77.0,0,6.93
S0061,2,0.972,14,61.2,0,7.08
S0061,3,0.916,15,63.6,0,8.26
S0061,4,0.908,21,59.6,0,7.35
S0061,5,0.911,19,67.5,0,7.84
S0061,6,0.893,17,63.0,0,7.03
S0061,7,0.917,17,69.6,0,8.41
S0062,1,0.857,17,67.5,0,3.83
S0062,2,0.831,13,64.7,0,3.9
S0062,3,0.896,10,84.2,0,3.98
S0062,4,0.806,17,78.6,0,2.27
S0062,5,0.792,14,73.0,1,4.99
S0062,6,0.88,13,78.5,0,4.66
S0062,7,0.883,14,72.0,0,3.97
S0063,1,0.915,23,65.7,0,5.36
S0063,2,0.864,18,59.2,0,4.89
S0063,3,0.804,20,57.9,0,6.64
S0063,4,0.863,17,60.5,0,5.47
S0063,5,0.795,22,65.8,0,5.5
S0063,6,0.89,16,51.1,0,5.63
S0063,7,0.884,17,56.2,0,5.51
S0064,1,0.843,6,50.1,0,7.42
S0064,2,0.838,8,46.9,0,8.9
S0064,3,0.936,6,61.6,0,5.79
S0064,4,0.914,7,59.3,0,7.33
S0064,5,0.84,7,54.0,0,8.39
S0064,6,0.926,5,60.0,0,6.65
S0064,7,0.932,10,55.8,0,7.03
S0065,1,0.99,13,56.9,0,4.35
S0065,2,0.873,14,50.8,0,5.51
S0065,3,0.884,12,57.9,0,4.72
S0065,4,0.906,14,65.0,0,6.02
S0065,5,0.988,18,64.1,0,4.71
S0065,6,0.961,18,69.5,0,5.14
S0065,7,1.0,27,68.5,0,7.03
S0066,1,0.906,19,41.0,0,9.98
S0066,2,0.894,15,36.5,0,8.77
S0066,3,0.897,21,46.9,0,9.73
S0066,4,0.854,19,42.7,0,10
S0066,5,0.939,20,43.5,0,10
S0066,6,0.808,16,36.4,1,8.65
S0066,7,0.859,15,36.2,0,9.33
S0067,1,0.822,8,58.5,0,5.88
S0067,2,0.854,15,58.1,0,3.86
S0067,3,0.78,11,55.8,1,3.52
S0067,4,0.717,6,66.0,1,2.92
S0067,5,0.807,19,64.1,0,4.44
S0067,6,0.692,12,61.6,1,4.87
S0067,7,0.676,5,58.3,1,4.34
S0068,1,0.956,11,39.8,0,8.49
S0068,2,1.0,14,40.4,0,9.63
S0068,3,0.98,13,38.4,0,8.64
S0068,4,1.0,12,39.1,0,8.59
S0068,5,0.971,11,54.0,0,7.67
S0068,6,1.0,13,43.9,0,8.06
S0068,7,1.0,16,48.9,0,9.4
S0069,1,0.891,6,81.7,0,8.18
S0069,2,0.804,10,71.7,0,7.58
S0069,3,0.79,13,79.1,0,8.19
S0069,4,0.827,14,78.0,0,9.37
S0069,5,0.839,11,72.7,0,9.26
S0069,6,0.819,14,71.8,0,8.43
S0069,7,0.796,10,85.6,1,8.42
S0070,1,0.82,20,58.2,0,4.64
S0070,2,0.787,15,59.9,1,4.79
S0070,3,0.784,16,68.3,1,5.55
S0070,4,0.849,16,71.0,0,4.02
S0070,5,0.781,11,66.3,0,4.81
S0070,6,0.802,13,62.6,0,4.54
S0070,7,0.832,15,57.2,0,5.65
S0071,1,0.94,11,56.8,0,4.11
S0071,2,0.93,14,69.1,0,5.48
S0071,3,0.924,8,66.4,0,5.91
S0071,4,0.921,13,62.8,0,6.19
S0071,5,0.867,15,66.4,0,5.97
S0071,6,0.918,7,71.2,0,5.82
S0071,7,0.981,18,62.5,0,5.3
S0072,1,0.866,19,69.9,0,5.84
S0072,2,0.991,20,66.8,0,6.22
S0072,3,0.873,14,80.6,0,5.13
S0072,4,1.08,20,69.1,0,7.74
S0072,5,0.898,16,68.1,0,5.57
S0072,6,0.93,19,84.1,0,5.22
S0072,7,0.943,-19,82.3,0,5.85
S0073,1,0.588,13,22.4,2,3.13
S0073,2,0.661,18,27.2,1,3.8
S0073,3,0.596,12,16.3,2,4.58
S0073,4,0.638,13,22.8,1,3.39
S0073,5,0.566,15,12.6,2,4.94
S0073,6,0.62,16,17.8,1,4.57
S0073,7,0.656,15,23.0,1,5.36
S0074,1,0.901,10,78.0,0,6.5
S0074,2,0.812,12,66.5,0,5.49
S0074,3,0.864,10,63.1,0,6.13
S0074,4,0.847,11,74.6,0,5.75
S0074,5,0.946,3,86.0,0,5.46
S0074,6,0.791,7,82.2,1,6.55
S0074,7,0.897,9,83.7,0,7.01
S0075,1,0.826,24,85.7,0,6.39
S0075,2,0.887,-23,84.3,0,8.91
S0075,3,0.82,17,76.8,0,6.51
S0075,4,0.894,18,82.4,0,6.07
S0075,5,0.891,18,84.3,0,7.02
S0075,6,0.819,18,82.9,0,8.34
S0075,7,0.871,22,71.0,0,7.14
S0076,1,0.843,23,42.5,0,6.74
S0076,2,0.846,17,43.8,0,6.69
S0076,3,0.841,24,55.8,0,8.28
S0076,4,0.791,19,54.4,0,5.78
S0076,5,0.786,22,45.6,0,7.18
S0076,6,0.827,21,57.4,1,6.09
S0076,7,0.817,19,45.6,1,5.62
S0077,1,0.912,12,69.5,0,5.08
S0077,2,0.991,8,64.1,0,7.56
S0077,3,0.987,10,62.3,0,5.74
S0077,4,0.92,13,62.4,0,6.17
S0077,5,1.0,12,69.3,0,3.53
S0077,6,0.889,9,64.6,0,4.92
S0077,7,0.994,10,70.6,0,4.23
S0078,1,0.912,14,62.8,0,6.57
S0078,2,0.833,12,66.2,0,5.57
S0078,3,0.813,7,67.7,1,5.71
S0078,4,0.939,11,59.5,0,6.17
S0078,5,0.849,16,73.8,0,5.6
S0078,6,0.855,10,58.4,0,6.0
S0078,7,0.885,10,64.9,0,6.36
S0079,1,0.838,12,34.5,0,6.99
S0079,2,0.87,14,39.2,0,7.68
S0079,3,0.893,16,39.9,0,8.85
S0079,4,0.875,12,44.2,0,7.66
S0079,5,0.896,10,36.8,0,7.24
S0079,6,0.82,11,42.2,0,8.95
S0079,7,0.914,11,39.3,0,7.99
S0080,1,0.66,4,19.5,1,1.92
S0080,2,0.585,2,36.2,2,4.35
S0080,3,0.637,1,26.9,2,1.95
S0080,4,0.654,0,27.3,1,1.94
S0080,5,0.651,6,28.2,1,4.04
S0080,6,0.64,5,26.9,1,4.93
S0080,7,0.62,5,30.9,1,4.05
S0081,1,1.0,14,68.3,0,3.2
S0081,2,1.0,14,65.9,0,5.27
S0081,3,0.957,12,66.6,0,5.38
S0081,4,0.943,11,58.9,0,5.41
S0081,5,0.971,12,66.6,0,4.79
S0081,6,0.922,10,55.4,0,2.44
S0081,7,0.947,8,62.5,0,3.06
S0082,1,0.98,7,60.4,0,6.19
S0082,2,0.916,8,57.1,0,4.83
S0082,3,0.91,5,47.5,0,6.0
S0082,4,0.906,0,51.8,0,4.85
S0082,5,0.742,0,31.0,1,5.78
S0082,6,0.697,0,38.6,1,3.2
S0082,7,0.562,0,44.5,2,2.09
S0083,1,0.979,8,64.7,0,7.05
S0083,2,0.985,12,65.0,0,6.41
S0083,3,1.0,11,54.1,0,6.12
S0083,4,1.0,7,74.3,0,5.96
S0083,5,0.97,9,67.9,0,5.56
S0083,6,0.977,12,52.1,0,5.34
S0083,7,0.974,14,70.1,0,4.21
S0084,1,0.879,2,65.6,0,5.11
S0084,2,0.852,0,58.0,0,4.52
S0084,3,0.853,0,61.5,0,4.18
S0084,4,0.831,0,69.1,0,5.01
S0084,5,0.921,0,67.3,0,5.27
S0084,6,0.923,0,76.9,0,6.99
S0084,7,1.0,5,70.5,0,5.86
S0085,1,0.937,25,42.9,0,5.67
S0085,2,0.832,10,28.5,0,6.13
S0085,3,0.854,12,19.1,0,3.66
S0085,4,0.764,6,25.0,1,3.38
S0085,5,0.66,4,17.5,2,3.85
S0085,6,0.744,7,10.2,1,4.08
S0085,7,0.559,0,9.3,2,2.87
S0086,1,0.844,9,51.1,0,6.04
S0086,2,0.823,8,37.4,1,4.84
S0086,3,0.853,12,45.3,0,6.1
S0086,4,0.791,6,43.5,0,6.11
S0086,5,0.843,10,38.0,0,5.15
S0086,6,0.858,3,40.3,0,4.88
S0086,7,0.801,6,55.8,0,5.25
S0087,1,0.706,13,40.7,1,7.21
S0087,2,0.731,7,33.5,0,5.55
S0087,3,0.718,13,18.6,1,4.65
S0087,4,0.625,6,22.6,1,4.41
S0087,5,0.493,0,32.8,2,5.44
S0087,6,0.464,0,14.2,3,5.57
S0087,7,0.4,0,4.1,2,4.46
S0088,1,0.768,15,64.7,1,9.01
S0088,2,0.807,13,69.3,0,7.62
S0088,3,0.822,11,60.6,0,8.45
S0088,4,0.766,11,66.8,0,7.88
S0088,5,0.798,4,65.6,0,9.06
S0088,6,0.773,7,68.5,1,8.86
S0088,7,0.871,14,70.1,0,9.74
S0089,1,0.7,30,45.2,1,5.12
S0089,2,0.823,22,52.1,0,5.73
S0089,3,0.79,25,40.5,1,6.16
S0089,4,0.438,10,21.3,3,1.8
S0089,5,0.424,12,17.5,2,1.72
S0089,6,0.415,9,34.4,2,1.6
S0089,7,0.439,11,30.1,3,1.94
S0090,1,0.776,13,84.8,0,8.71
S0090,2,0.765,12,68.9,0,7.22
S0090,3,0.748,14,69.5,1,7.55
S0090,4,0.722,16,70.8,1,7.73
S0090,5,0.672,9,65.1,1,6.91
S0090,6,0.759,5,72.5,1,8.19
S0090,7,0.771,12,81.1,1,9.03
S0091,1,0.998,19,60.3,0,7.13
S0091,2,0.978,15,58.6,0,3.47
S0091,3,0.82,14,55.3,1,4.09
